,year,community,elec_efficiency,gas_efficiency,ghg_efficiency
0,2014,ALBANY PARK,7.436698968427634,7.436698968427634,7.436698968427634
1,2014,ARCHER HEIGHTS,16.929336284174994,16.929336284174994,16.929336284174994
2,2014,ARMOUR SQUARE,12.528807777935095,12.528807777935095,12.528807777935095
3,2014,ASHBURN,8.040000000000001,8.040000000000001,8.040000000000001
4,2014,BELMONT CRAGIN,8.237476808905381,8.237476808905381,8.237476808905381
5,2014,BRIGHTON PARK,9.144461719922797,9.144461719922797,9.144461719922797
6,2014,CALUMET HEIGHTS,25.663325990891035,25.663325990891035,25.663325990891035
7,2014,CHATHAM,13.611248687173111,13.611248687173111,13.611248687173111
8,2014,DOUGLAS,7.601496544632225,7.601496544632225,7.601496544632225
9,2014,EDGEWATER,11.322008435892991,11.322008435892991,11.322008435892991
10,2014,ENGLEWOOD,20.450185883333297,20.450185883333297,20.450185883333297
11,2014,GARFIELD RIDGE,7.364020939603308,7.364020939603308,7.364020939603308
12,2014,GRAND BOULEVARD,32.11540261233439,32.11540261233439,32.11540261233439
13,2014,HYDE PARK,12.345410028420396,12.345410028420396,12.345410028420396
14,2014,IRVING PARK,8.597185576077397,8.597185576077397,8.597185576077397
15,2014,LAKEVIEW,17.29823016200151,17.29823016200151,17.29823016200151
16,2014,LINCOLN PARK,8.18260759850672,8.18260759850672,8.18260759850672
17,2014,LOOP,12.8090405662211,12.8090405662211,12.8090405662211
18,2014,LOWER WEST SIDE,6.519494567087861,6.519494567087861,6.519494567087861
19,2014,MORGAN PARK,8.805848300430458,8.805848300430458,8.805848300430458
20,2014,NEAR NORTH SIDE,17.278174623483864,17.278174623483864,17.278174623483864
21,2014,NEAR SOUTH SIDE,20.02046507919299,20.02046507919299,20.02046507919299
22,2014,NEAR WEST SIDE,15.076493939622827,15.076493939622827,15.076493939622827
23,2014,NORTH CENTER,6.416142221229924,6.416142221229924,6.416142221229924
24,2014,NORTH PARK,5.763358778625954,5.763358778625954,5.763358778625954
25,2014,NORWOOD PARK,17.22897594103289,17.22897594103289,17.22897594103289
26,2014,OHARE,13.488064390299167,13.488064390299167,13.488064390299167
27,2014,PORTAGE PARK,26.131901964288804,26.131901964288804,26.131901964288804
28,2014,PULLMAN,9.597686698516469,9.597686698516469,9.597686698516469
29,2014,ROSELAND,13.291586223945622,13.291586223945622,13.291586223945622
30,2014,SOUTH LAWNDALE,14.023338716443309,14.023338716443309,14.023338716443309
31,2014,UPTOWN,18.607519813510898,18.607519813510898,18.607519813510898
32,2014,WASHINGTON HEIGHTS,12.49556894718185,12.49556894718185,12.49556894718185
33,2014,WEST ENGLEWOOD,6.965610161288213,6.965610161288213,6.965610161288213
34,2014,WEST LAWN,7.7493415950445685,7.7493415950445685,7.7493415950445685
35,2014,WEST TOWN,24.871986372856504,24.871986372856504,24.871986372856504
36,2015,ALBANY PARK,7.0758532237165905,7.0758532237165905,7.0758532237165905
37,2015,ARCHER HEIGHTS,15.637988247846925,15.637988247846925,15.637988247846925
38,2015,ARMOUR SQUARE,8.108558009274393,8.108558009274393,8.108558009274393
39,2015,ASHBURN,9.275231933097407,9.275231933097407,9.275231933097407
40,2015,AUBURN GRESHAM,7.652592114822475,7.652592114822475,7.652592114822475
41,2015,AUSTIN,10.420666219715491,10.420666219715491,10.420666219715491
42,2015,AVONDALE,14.79819321059619,14.79819321059619,14.79819321059619
43,2015,BELMONT CRAGIN,11.241895935662816,11.241895935662816,11.241895935662816
44,2015,BEVERLY,3.889352896445979,3.889352896445979,3.889352896445979
45,2015,BRIDGEPORT,6.495905504105957,6.495905504105957,6.495905504105957
46,2015,BRIGHTON PARK,11.858240222355695,11.858240222355695,11.858240222355695
47,2015,BURNSIDE,8.490797546012269,8.490797546012269,8.490797546012269
48,2015,CALUMET HEIGHTS,24.23673664052315,24.23673664052315,24.23673664052315
49,2015,CHATHAM,13.785554830568522,13.785554830568522,13.785554830568522
50,2015,CHICAGO LAWN,10.8327953913717,10.8327953913717,10.8327953913717
51,2015,CLEARING,4.776636804288896,4.776636804288896,4.776636804288896
52,2015,DOUGLAS,8.90364420274292,8.90364420274292,8.90364420274292
53,2015,DUNNING,14.558213331015272,14.558213331015272,14.558213331015272
54,2015,EAST GARFIELD PARK,11.897080763695584,11.897080763695584,11.897080763695584
55,2015,EAST SIDE,8.028631617388289,8.028631617388289,8.028631617388289
56,2015,EDGEWATER,9.739388864799883,9.739388864799883,9.739388864799883
57,2015,EDISON PARK,7.360892108845432,7.360892108845432,7.360892108845432
58,2015,ENGLEWOOD,10.656490341742934,10.656490341742934,10.656490341742934
59,2015,FOREST GLEN,12.7267870336783,12.7267870336783,12.7267870336783
60,2015,GAGE PARK,9.216644458666734,9.216644458666734,9.216644458666734
61,2015,GARFIELD RIDGE,21.830785296372678,21.830785296372678,21.830785296372678
62,2015,GRAND BOULEVARD,12.349535445005497,12.349535445005497,12.349535445005497
63,2015,GREATER GRAND CROSSING,9.183404598836052,9.183404598836052,9.183404598836052
64,2015,HEGEWISCH,20.25123709716095,20.25123709716095,20.25123709716095
65,2015,HERMOSA,105.53882618541674,105.53882618541674,105.53882618541674
66,2015,HUMBOLDT PARK,10.831945608521425,10.831945608521425,10.831945608521425
67,2015,HYDE PARK,12.659555674127393,12.659555674127393,12.659555674127393
68,2015,IRVING PARK,11.85756252537679,11.85756252537679,11.85756252537679
69,2015,JEFFERSON PARK,18.40835608240481,18.40835608240481,18.40835608240481
70,2015,KENWOOD,8.123964810878691,8.123964810878691,8.123964810878691
