,year,community,Electricity,Gas,Greenhouse Gas
188,2017,ALBANY PARK,32952.352516723346,54803.42105571281,9.003526603654754
189,2017,ARCHER HEIGHTS,59174.62288543171,43805.156132402066,13.267795410864084
190,2017,ARMOUR SQUARE,30923.780686532707,39438.227737283225,7.812392115877301
191,2017,ASHBURN,33226.681494466226,50569.29448441973,8.767677079635941
192,2017,AUBURN GRESHAM,29046.738459270815,56677.6438458848,8.35463538977805
193,2017,AUSTIN,33274.92139731793,63168.91892271928,9.480761511070394
194,2017,AVALON PARK,16832.064247836122,41661.58766853069,5.324846936146365
195,2017,AVONDALE,51166.92818498613,36710.45316007811,11.343489971499354
196,2017,BELMONT CRAGIN,43392.343108916306,42991.397167612566,10.256380449836689
197,2017,BEVERLY,10789.10233236515,49038.85613134045,4.599907752527456
198,2017,BRIDGEPORT,22722.95385865731,41718.896274967155,6.417413746046756
199,2017,BRIGHTON PARK,47919.25815806373,43909.65787697918,11.192261638183036
200,2017,BURNSIDE,22995.62745010974,42874.70076211232,6.529218102629029
201,2017,CALUMET HEIGHTS,97511.90437994021,80420.3280233961,22.30108156056834
202,2017,CHATHAM,55835.52502434773,45773.366907745665,12.672475263797594
203,2017,CHICAGO LAWN,34118.24608979229,76768.43458017963,10.385938727365561
204,2017,CLEARING,13160.249110678906,42236.77607247589,4.676871605211976
205,2017,DOUGLAS,24397.733173957884,92369.86897111435,9.372814892697596
206,2017,DUNNING,36549.79080342206,47038.27492737941,9.256380576893005
207,2017,EAST GARFIELD PARK,38663.89030261843,50362.344566437096,9.823653318973626
208,2017,EAST SIDE,20619.661949432397,45320.52212804948,6.219587521748224
209,2017,EDGEWATER,26418.588462191456,65444.42041216269,8.346596114090865
210,2017,EDISON PARK,23946.5395638672,66084.47234442788,7.937394469424446
211,2017,ENGLEWOOD,36378.12573800867,65647.68261767905,10.212948577490561
212,2017,FOREST GLEN,21126.731923698786,47666.0310882516,6.437786748907663
213,2017,FULLER PARK,19684.84997820277,66435.02530373965,7.168445194184878
214,2017,GAGE PARK,36351.84079989578,49467.54633600941,9.348640226512794
215,2017,GARFIELD RIDGE,72273.07548763296,55594.71828983527,16.19654751344513
216,2017,GRAND BOULEVARD,28763.03414074527,52295.16978020098,8.095863068341679
217,2017,GREATER GRAND CROSSING,30004.92033597615,72406.03077617973,9.348046082731269
218,2017,HEGEWISCH,62102.3769651253,86852.44687270642,16.095638168485443
219,2017,HERMOSA,37681.27482278252,55024.05892123216,9.889644757372682
220,2017,HUMBOLDT PARK,30855.61909831358,49600.94840279274,8.339586700416596
221,2017,HYDE PARK,24787.34056096113,55646.44103839573,8.38786564726167
222,2017,IRVING PARK,29661.049156283436,58074.0817055976,8.568706502039976
223,2017,JEFFERSON PARK,42206.694102949514,67262.62452301245,11.37694530456907
224,2017,KENWOOD,18409.475482194543,67516.1974872522,6.9899151677880536
225,2017,LAKEVIEW,23999.108812345778,61124.29834287686,7.682411062314403
226,2017,LINCOLN PARK,34870.03749362913,63751.143108264245,9.816579654137662
227,2017,LINCOLN SQUARE,46496.94271427951,68476.79516830805,12.234269627040964
228,2017,LOGAN SQUARE,32530.385380109434,36383.443913918396,7.905509229480541
229,2017,LOOP,43081.89638220807,42928.32199042816,10.34486176406147
230,2017,LOWER WEST SIDE,35789.69375817115,42520.471420649796,8.79439072032105
231,2017,MCKINLEY PARK,64933.51390831051,58454.58654425881,15.110798735892912
232,2017,MONTCLARE,43440.70847618993,72081.34173124531,11.699160509014371
233,2017,MORGAN PARK,51342.79016230777,53771.539848778724,12.348940351275862
234,2017,MOUNT GREENWOOD,38502.3421460245,54737.66355169289,9.680110847381718
235,2017,NEAR NORTH SIDE,38312.87006876966,50670.775908570504,9.810463157623722
236,2017,NEAR SOUTH SIDE,32927.98086905207,51985.43826189983,8.843785219771277
237,2017,NEAR WEST SIDE,41683.811695765544,45207.34758965155,10.100222823085492
238,2017,NEW CITY,43921.44904474844,40495.325541964085,10.180742206847688
239,2017,NORTH CENTER,39670.71722401935,43690.286478793976,9.655400417343944
240,2017,NORTH LAWNDALE,33077.68764882115,156790.02711711577,14.369987481128295
241,2017,NORTH PARK,38266.056226337176,54190.08699294386,9.909625239197812
242,2017,NORWOOD PARK,54016.77327992394,119641.29911025453,16.34223651758224
243,2017,OAKLAND,18284.346723899318,64418.087734967856,6.8022242078865425
244,2017,OHARE,43171.84735389305,40947.9126346619,10.542933902340033
245,2017,PORTAGE PARK,50532.631554117914,43884.77953446754,11.674141749410449
246,2017,PULLMAN,46856.23742122233,88124.58796821177,13.344140824237329
247,2017,RIVERDALE,39995.280047111584,69766.00280716016,10.462049804918582
248,2017,ROGERS PARK,29303.80070882627,64102.53793022752,8.814114468891095
249,2017,ROSELAND,37286.776553938835,105642.79418355513,12.505488987966245
250,2017,SOUTH CHICAGO,30306.168129447553,71138.33035953024,9.38205345499084
251,2017,SOUTH DEERING,50938.485100406935,59810.26122737687,12.595002943354856
252,2017,SOUTH LAWNDALE,47616.980112199744,64869.80557996126,12.179296830860814
253,2017,SOUTH SHORE,20624.437684683977,76669.80388314738,7.885651582672408
254,2017,UPTOWN,24287.756398163347,66214.84587572569,8.005292462785642
255,2017,WASHINGTON HEIGHTS,40350.51313097078,51592.21401349891,10.200942261171662
256,2017,WASHINGTON PARK,18619.26217318776,72382.13096075434,7.287291204855442
257,2017,WEST ELSDON,55772.60234899569,31672.449520555663,11.9945096080433
258,2017,WEST ENGLEWOOD,43637.84518289433,41558.1226219798,10.27554127358944
